V1,V2,V3,V4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
93.91428571,78.61428571,66.47142857,74.34285714
93.92857143,78.62857143,66.64285714,74.38571429
93.94285714,78.64285714,66.81428571,74.42857143
93.95714286,78.65714286,66.98571429,74.47142857
93.97142857,78.67142857,67.15714286,74.51428571
93.98571429,78.68571429,67.32857143,74.55714286
94,78.7,67.5,74.6
94.05714286,78.78571429,68.71428571,74.75714286
94.11428571,78.87142857,69.92857143,74.91428571
94.17142857,78.95714286,71.14285714,75.07142857
94.22857143,79.04285714,72.35714286,75.22857143
94.28571429,79.12857143,73.57142857,75.38571429
94.34285714,79.21428571,74.78571429,75.54285714
94.4,79.3,76,75.7
94.51428571,79.42857143,76.04285714,75.77142857
94.62857143,79.55714286,76.08571429,75.84285714
94.74285714,79.68571429,76.12857143,75.91428571
94.85714286,79.81428571,76.17142857,75.98571429
94.97142857,79.94285714,76.21428571,76.05714286
95.08571429,80.07142857,76.25714286,76.12857143
95.2,80.2,76.3,76.2
95.07142857,80.15714286,76.34285714,77.54285714
94.94285714,80.11428571,76.38571429,78.88571429
94.81428571,80.07142857,76.42857143,80.22857143
94.68571429,80.02857143,76.47142857,81.57142857
94.55714286,79.98571429,76.51428571,82.91428571
94.42857143,79.94285714,76.55714286,84.25714286
94.3,79.9,76.6,85.6
94.3,79.94285714,76.74285714,84.71428571
94.3,79.98571429,76.88571429,83.82857143
94.3,80.02857143,77.02857143,82.94285714
94.3,80.07142857,77.17142857,82.05714286
94.3,80.11428571,77.31428571,81.17142857
94.3,80.15714286,77.45714286,80.28571429
94.3,80.2,77.6,79.4
91.04,75.88,72.18,75.04
87.78,71.56,66.76,70.68
84.52,67.24,61.34,66.32
81.26,62.92,55.92,61.96
78,58.6,50.5,57.6
67.35,52.75,47.9,52.45
56.7,46.9,45.3,47.3
51.25,39.2,27.8,28.65
45.8,31.5,10.3,10
45.2,30.1,9.08,8.68
44.6,28.7,7.86,7.36
44,27.3,6.64,6.04
43.4,25.9,5.42,4.72
42.8,24.5,4.2,3.4
38.28,20.24,3.44,2.88
33.76,15.98,2.68,2.36
29.24,11.72,1.92,1.84
24.72,7.46,1.16,1.32
20.2,3.2,0.4,0.8
15.95,1.95,0.2,0.6
11.7,0.7,0,0.4
9.68,0.56,0.02,0.5
7.66,0.42,0.04,0.6
5.64,0.28,0.06,0.7
3.62,0.14,0.08,0.8
1.6,0,0.1,0.9
1.75,0,0.15,1
1.9,0,0.2,1.1
4.56,0.02,0.28,1.72
7.22,0.04,0.36,2.34
9.88,0.06,0.44,2.96
12.54,0.08,0.52,3.58
15.2,0.1,0.6,4.2
17.8,0.15,0.75,4.7
20.4,0.2,0.9,5.2
23.95,0.3,1.5,5.85
27.5,0.4,2.1,6.5
32.2,1.016666667,6.366666667,14.73333333
36.9,1.633333333,10.63333333,22.96666667
41.6,2.25,14.9,31.2
46.3,2.866666667,19.16666667,39.43333333
51,3.483333333,23.43333333,47.66666667
55.7,4.1,27.7,55.9
57.86,7.4,32.3,58.74
60.02,10.7,36.9,61.58
62.18,14,41.5,64.42
64.34,17.3,46.1,67.26
66.5,20.6,50.7,70.1
70.45,28.65,53.2,71.6
74.4,36.7,55.7,73.1
75.98,39.08,55.8,73.32
77.56,41.46,55.9,73.54
79.14,43.84,56,73.76
80.72,46.22,56.1,73.98
82.3,48.6,56.2,74.2
88.9,55.7,45,73.5
89.18,59.84,50.8,75
89.46,63.98,56.6,76.5
89.74,68.12,62.4,78
90.02,72.26,68.2,79.5
90.3,76.4,74,81
90.96666667,76.83333333,74.96666667,80.96666667
91.63333333,77.26666667,75.93333333,80.93333333
92.3,77.7,76.9,80.9
92.05,77.75,77.6,80.9
91.8,77.8,78.3,80.9
91.55,77.85,79,80.9
91.3,77.9,79.7,80.9
92.25,78.6,79.8,80.95
93.2,79.3,79.9,81
92.775,78.8375,79.475,79.9875
92.35,78.375,79.05,78.975
91.925,77.9125,78.625,77.9625
91.5,77.45,78.2,76.95
91.075,76.9875,77.775,75.9375
90.65,76.525,77.35,74.925
90.225,76.0625,76.925,73.9125
89.8,75.6,76.5,72.9
90.02,76.22,77.26,74.66
90.24,76.84,78.02,76.42
90.46,77.46,78.78,78.18
90.68,78.08,79.54,79.94
90.9,78.7,80.3,81.7
91.6,79.7,80.5,81.4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
